sequence,track,event_type,count
02,462,wrong_division_parent,1
02,463,fragmented_gt_track,1
02,463,id_switch,2
02,463,wrong_division_parent,1
02,465,fragmented_gt_track,1
02,465,id_switch,23
02,465,wrong_division_parent,1
02,466,fragmented_gt_track,1
02,466,id_switch,18
02,466,wrong_division_parent,1
02,468,fragmented_gt_track,1
02,468,id_switch,12
02,469,fragmented_gt_track,1
02,469,id_switch,12
02,47,fragmented_gt_track,1
02,47,id_switch,66
02,471,fragmented_gt_track,1
02,471,id_switch,7
02,471,wrong_division_parent,1
02,472,fragmented_gt_track,1
02,472,id_switch,6
02,472,wrong_division_parent,1
02,473,fragmented_gt_track,1
02,473,id_switch,6
02,473,wrong_division_parent,1
02,475,fragmented_gt_track,1
02,475,id_switch,7
02,475,wrong_division_parent,1
02,476,fragmented_gt_track,1
02,476,id_switch,18
02,476,wrong_division_parent,1
02,478,fragmented_gt_track,1
02,478,id_switch,19
02,478,wrong_division_parent,1
02,479,fragmented_gt_track,1
02,479,id_switch,3
02,479,wrong_division_parent,1
02,481,wrong_division_parent,1
02,483,fragmented_gt_track,1
02,483,id_switch,33
02,488,fragmented_gt_track,1
02,488,id_switch,17
02,488,wrong_division_parent,1
02,489,fragmented_gt_track,1
02,489,id_switch,48
02,489,wrong_division_parent,1
02,49,fragmented_gt_track,1
02,49,id_switch,56
02,491,fragmented_gt_track,1
02,491,id_switch,17
02,491,wrong_division_parent,1
02,492,fragmented_gt_track,1
02,492,id_switch,14
02,492,wrong_division_parent,1
02,493,fragmented_gt_track,1
02,493,id_switch,39
02,493,wrong_division_parent,1
02,495,fragmented_gt_track,1
02,495,id_switch,27
02,495,wrong_division_parent,1
02,497,fragmented_gt_track,1
02,497,id_switch,3
02,497,wrong_division_parent,1
02,498,fragmented_gt_track,1
02,498,id_switch,51
02,498,wrong_division_parent,1
02,499,fragmented_gt_track,1
02,499,id_switch,7
02,499,wrong_division_parent,1
02,5,fragmented_gt_track,1
02,5,id_switch,9
02,501,fragmented_gt_track,1
02,501,id_switch,27
02,501,wrong_division_parent,1
02,503,fragmented_gt_track,1
02,503,id_switch,10
02,504,fragmented_gt_track,1
02,504,id_switch,25
02,506,fragmented_gt_track,1
02,506,id_switch,18
02,506,wrong_division_parent,1
02,507,fragmented_gt_track,1
02,507,id_switch,46
02,507,wrong_division_parent,1
02,509,fragmented_gt_track,1
02,509,id_switch,9
02,509,wrong_division_parent,1
02,51,fragmented_gt_track,1
02,51,id_switch,96
02,510,fragmented_gt_track,1
02,510,id_switch,40
02,510,wrong_division_parent,1
02,512,fragmented_gt_track,1
02,512,id_switch,21
02,513,fragmented_gt_track,1
02,513,id_switch,10
02,514,fragmented_gt_track,1
02,514,id_switch,2
02,516,fragmented_gt_track,1
02,516,id_switch,9
02,518,fragmented_gt_track,1
02,518,id_switch,38
02,519,fragmented_gt_track,1
02,519,id_switch,48
02,52,fragmented_gt_track,1
02,52,id_switch,46
02,521,fragmented_gt_track,1
02,521,id_switch,55
02,524,wrong_division_parent,1
02,525,fragmented_gt_track,1
02,525,id_switch,3
02,525,wrong_division_parent,1
02,530,fragmented_gt_track,1
02,530,id_switch,17
02,531,fragmented_gt_track,1
02,531,id_switch,33
02,534,fragmented_gt_track,1
02,534,id_switch,3
02,536,fragmented_gt_track,1
02,536,id_switch,4
02,54,fragmented_gt_track,1
02,54,id_switch,35
02,542,fragmented_gt_track,1
02,542,id_switch,4
02,548,fragmented_gt_track,1
02,548,id_switch,1
02,548,wrong_division_parent,1
02,549,fragmented_gt_track,1
02,549,id_switch,44
02,549,wrong_division_parent,1
02,55,fragmented_gt_track,1
02,55,id_switch,173
02,550,fragmented_gt_track,1
02,550,id_switch,8
02,554,fragmented_gt_track,1
02,554,id_switch,2
02,555,fragmented_gt_track,1
02,555,id_switch,14
02,556,wrong_division_parent,1
02,558,fragmented_gt_track,1
02,558,id_switch,21
02,558,wrong_division_parent,1
02,560,fragmented_gt_track,1
02,560,id_switch,31
02,563,fragmented_gt_track,1
02,563,id_switch,12
02,563,wrong_division_parent,1
02,564,fragmented_gt_track,1
02,564,id_switch,9
02,564,wrong_division_parent,1
02,566,fragmented_gt_track,1
02,566,id_switch,1
02,570,fragmented_gt_track,1
02,570,id_switch,22
02,570,wrong_division_parent,1
02,571,fragmented_gt_track,1
02,571,id_switch,10
02,571,wrong_division_parent,1
02,572,fragmented_gt_track,1
02,572,id_switch,17
02,572,wrong_division_parent,1
02,574,fragmented_gt_track,1
02,574,id_switch,2
02,574,wrong_division_parent,1
02,578,fragmented_gt_track,1
02,578,id_switch,14
02,584,fragmented_gt_track,1
02,584,id_switch,1
02,589,fragmented_gt_track,1
02,589,id_switch,1
02,592,fragmented_gt_track,1
02,592,id_switch,170
02,6,fragmented_gt_track,1
02,6,id_switch,43
02,604,fragmented_gt_track,1
02,604,id_switch,1
02,604,wrong_division_parent,1
02,606,fragmented_gt_track,1
02,606,id_switch,18
02,607,fragmented_gt_track,1
02,607,id_switch,17
02,612,fragmented_gt_track,1
02,612,id_switch,48
02,613,fragmented_gt_track,1
02,613,id_switch,58
02,625,fragmented_gt_track,1
02,625,id_switch,66
02,625,wrong_division_parent,1
02,626,fragmented_gt_track,1
02,626,id_switch,24
02,626,wrong_division_parent,1
02,634,fragmented_gt_track,1
02,634,id_switch,122
02,635,fragmented_gt_track,1
02,635,id_switch,40
02,64,fragmented_gt_track,1
02,64,id_switch,65
02,65,fragmented_gt_track,1
02,65,id_switch,54
02,67,fragmented_gt_track,1
02,67,id_switch,11
02,68,fragmented_gt_track,1
02,68,id_switch,9
02,7,fragmented_gt_track,1
02,7,id_switch,158
02,70,fragmented_gt_track,1
02,70,id_switch,110
02,71,fragmented_gt_track,1
02,71,id_switch,115
02,72,fragmented_gt_track,1
02,72,id_switch,68
02,73,fragmented_gt_track,1
02,73,id_switch,94
02,75,fragmented_gt_track,1
02,75,id_switch,54
02,75,wrong_division_parent,1
02,77,fragmented_gt_track,1
02,77,id_switch,14
02,77,wrong_division_parent,1
02,79,fragmented_gt_track,1
02,79,id_switch,82
02,80,fragmented_gt_track,1
02,80,id_switch,28
02,82,fragmented_gt_track,1
02,82,id_switch,90
02,83,fragmented_gt_track,1
02,83,id_switch,7
02,85,fragmented_gt_track,1
02,85,id_switch,267
02,85,wrong_division_parent,1
02,87,fragmented_gt_track,1
02,87,id_switch,96
02,87,wrong_division_parent,1
02,88,fragmented_gt_track,1
02,88,id_switch,167
02,88,wrong_division_parent,1
02,89,fragmented_gt_track,1
02,89,id_switch,145
02,89,wrong_division_parent,1
02,90,fragmented_gt_track,1
02,90,id_switch,127
02,90,wrong_division_parent,1
02,92,fragmented_gt_track,1
02,92,id_switch,48
02,92,wrong_division_parent,1
02,93,fragmented_gt_track,1
02,93,id_switch,15
02,97,fragmented_gt_track,1
02,97,id_switch,29
02,98,fragmented_gt_track,1
02,98,id_switch,47
