sequence,frame,event_type,count
02,653,id_switch,2
02,654,id_switch,2
02,655,id_switch,2
02,656,id_switch,2
02,657,id_switch,2
02,658,id_switch,2
02,659,id_switch,2
02,660,id_switch,2
02,661,id_switch,2
02,662,id_switch,2
02,663,id_switch,2
02,664,id_switch,2
02,665,id_switch,2
02,666,id_switch,2
02,667,id_switch,2
02,668,id_switch,2
02,669,id_switch,2
02,670,id_switch,2
02,671,id_switch,2
02,672,id_switch,2
02,673,id_switch,2
02,674,id_switch,2
02,675,id_switch,2
02,676,id_switch,2
02,677,id_switch,2
02,678,id_switch,2
02,679,id_switch,2
02,680,id_switch,2
02,681,fragmented_gt_track,2
02,681,id_switch,2
02,682,fragmented_gt_track,2
02,682,id_switch,2
02,683,fragmented_gt_track,2
02,683,id_switch,1
02,683,wrong_division_parent,2
02,684,id_switch,3
02,685,id_switch,2
02,686,id_switch,2
02,687,id_switch,4
02,688,id_switch,5
02,689,id_switch,5
02,690,id_switch,4
02,691,id_switch,4
02,692,id_switch,4
02,693,id_switch,4
02,694,id_switch,4
02,695,id_switch,4
02,696,id_switch,4
02,697,id_switch,6
02,698,id_switch,4
02,699,id_switch,4
02,700,id_switch,4
02,701,id_switch,4
02,702,id_switch,4
02,703,id_switch,4
02,704,fragmented_gt_track,2
02,704,id_switch,4
02,705,id_switch,5
02,706,id_switch,4
02,707,id_switch,7
02,708,id_switch,4
02,709,id_switch,4
02,710,id_switch,4
02,711,id_switch,4
02,712,id_switch,4
02,713,id_switch,4
02,714,fragmented_gt_track,2
02,714,id_switch,4
02,715,fragmented_gt_track,2
02,715,id_switch,3
02,716,id_switch,3
02,717,id_switch,3
02,718,fragmented_gt_track,2
02,718,id_switch,2
02,719,id_switch,3
02,720,id_switch,2
02,721,id_switch,2
02,722,id_switch,2
02,723,id_switch,2
02,724,id_switch,3
02,725,id_switch,6
02,726,id_switch,3
02,727,id_switch,4
02,728,id_switch,4
02,729,id_switch,3
02,730,id_switch,3
02,731,id_switch,3
02,732,id_switch,3
02,733,id_switch,6
02,734,id_switch,4
02,735,id_switch,3
02,736,id_switch,4
02,737,id_switch,3
02,738,id_switch,4
02,739,id_switch,8
02,740,id_switch,4
02,741,id_switch,5
02,742,id_switch,4
02,743,id_switch,4
02,744,id_switch,4
02,745,id_switch,4
02,746,id_switch,6
02,747,id_switch,5
02,748,id_switch,5
02,749,id_switch,6
02,750,id_switch,4
02,751,id_switch,4
02,752,id_switch,4
02,753,id_switch,4
02,754,id_switch,4
02,755,id_switch,4
02,756,id_switch,4
02,757,id_switch,4
02,758,id_switch,4
02,759,id_switch,4
02,760,id_switch,4
02,761,id_switch,4
02,762,id_switch,4
02,763,id_switch,4
02,764,id_switch,6
02,765,id_switch,4
02,766,id_switch,4
02,767,id_switch,7
02,768,id_switch,5
02,769,id_switch,5
02,770,id_switch,6
02,771,id_switch,6
02,772,id_switch,5
02,773,id_switch,5
02,774,id_switch,5
02,775,id_switch,5
02,776,id_switch,8
02,777,id_switch,6
02,778,id_switch,7
02,779,id_switch,6
02,780,id_switch,6
02,781,id_switch,6
02,782,id_switch,7
02,783,id_switch,6
02,784,id_switch,5
02,785,id_switch,5
02,786,id_switch,5
02,787,id_switch,5
02,788,id_switch,5
02,789,id_switch,5
02,790,id_switch,5
02,791,id_switch,5
02,792,id_switch,5
02,793,id_switch,5
02,794,id_switch,5
02,795,id_switch,8
02,796,id_switch,6
02,797,id_switch,10
02,798,id_switch,7
02,799,id_switch,6
02,800,id_switch,8
02,801,id_switch,7
02,802,id_switch,9
02,803,id_switch,7
02,804,id_switch,7
02,805,id_switch,7
02,806,id_switch,7
02,807,id_switch,7
02,808,id_switch,7
02,809,id_switch,7
02,810,id_switch,7
02,811,id_switch,8
02,812,id_switch,6
02,813,id_switch,6
02,814,id_switch,7
02,815,id_switch,7
02,816,id_switch,6
02,817,id_switch,6
02,818,id_switch,6
02,819,id_switch,6
02,820,id_switch,6
02,821,id_switch,6
02,822,id_switch,6
02,823,id_switch,7
02,824,id_switch,6
02,825,id_switch,7
02,826,id_switch,6
02,827,id_switch,6
02,828,id_switch,6
02,829,id_switch,6
02,830,id_switch,6
02,831,id_switch,6
02,832,id_switch,6
02,833,id_switch,6
02,834,id_switch,6
02,835,id_switch,6
02,836,id_switch,6
02,837,id_switch,6
02,838,id_switch,6
02,839,id_switch,6
02,840,id_switch,6
02,841,id_switch,6
02,842,id_switch,6
02,843,id_switch,6
02,844,id_switch,6
02,845,id_switch,6
02,846,id_switch,6
02,847,id_switch,6
02,848,id_switch,7
02,849,id_switch,6
02,850,id_switch,6
02,851,id_switch,6
02,852,id_switch,6
02,853,id_switch,6
02,854,id_switch,6
02,855,id_switch,6
02,856,id_switch,6
02,857,id_switch,6
02,858,id_switch,6
02,859,id_switch,6
02,860,id_switch,6
02,861,id_switch,6
02,862,id_switch,6
02,863,id_switch,6
02,864,id_switch,6
02,865,id_switch,6
02,866,id_switch,6
02,867,id_switch,6
02,868,id_switch,6
02,869,id_switch,6
02,870,id_switch,6
02,871,id_switch,6
02,872,id_switch,6
02,873,id_switch,6
02,874,id_switch,6
02,875,id_switch,6
02,876,id_switch,6
02,877,id_switch,6
02,878,id_switch,6
02,879,id_switch,6
02,880,fragmented_gt_track,2
02,880,id_switch,6
02,881,id_switch,6
02,882,id_switch,5
02,883,id_switch,5
02,884,id_switch,7
02,885,id_switch,6
02,886,id_switch,5
02,887,id_switch,5
02,888,id_switch,5
02,889,id_switch,5
02,890,id_switch,5
02,891,id_switch,5
02,892,id_switch,5
02,893,fragmented_gt_track,2
02,893,id_switch,5
02,894,id_switch,5
02,895,id_switch,5
02,896,id_switch,5
02,897,id_switch,5
02,898,id_switch,5
02,899,id_switch,5
02,900,id_switch,7
02,901,id_switch,6
02,902,id_switch,6
02,903,id_switch,6
02,904,id_switch,6
02,905,id_switch,6
02,906,id_switch,6
02,907,id_switch,6
02,908,id_switch,6
02,909,id_switch,6
02,910,id_switch,7
02,911,id_switch,7
02,912,id_switch,6
02,913,id_switch,6
02,914,id_switch,6
02,915,id_switch,6
02,916,id_switch,6
02,917,id_switch,6
02,918,id_switch,6
02,919,id_switch,7
02,920,fragmented_gt_track,2
02,920,id_switch,6
02,921,id_switch,6
02,922,id_switch,6
02,923,id_switch,6
02,924,id_switch,6
02,925,id_switch,6
02,926,id_switch,6
02,927,fragmented_gt_track,2
02,927,id_switch,6
02,928,id_switch,6
02,929,id_switch,6
02,930,id_switch,6
02,931,id_switch,8
02,932,id_switch,7
02,933,id_switch,6
02,934,id_switch,6
